Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
1996,11,Poland,7,5,5,17,Poland,Poland,Poland,3705.0,38594998.0,25490654.0
1996,12,Hungary,7,4,10,21,Hungary,Hungary,Hungary,4497.0,10328965.0,6985555.0
1996,8,Cuba,9,8,8,25,Cuba,Cuba,Cuba,2785.0,10925362.0,7542560.0
1996,28,Ireland,3,0,1,4,Ireland,Ireland,Ireland,19316.0,3608841.0,2324104.0
1996,29,Sweden,2,4,2,8,Sweden,Sweden,Sweden,30520.0,8826939.0,5621611.0
1996,30,Norway,2,2,3,7,Norway,Norway,Norway,34875.0,4359184.0,2815261.0
1996,31,Belgium,2,2,2,6,Belgium,Belgium,Belgium,28531.0,10136811.0,6703399.0
1996,32,Nigeria,2,1,3,6,Nigeria,Nigeria,Nigeria,467.0,110819428.0,58186776.0
1996,61,Philippines,0,1,0,1,Philippines,Philippines,Philippines,1222.0,70546246.0,39554640.0
1996,61,Tonga,0,1,0,1,Tonga,Tonga,Tonga,2089.0,100225.0,55207.0
1996,61,Zambia,0,1,0,1,Zambia,Zambia,Zambia,438.0,8785763.0,4316179.0
1996,16,Greece,4,4,0,8,Greece,Greece,Greece,12760.0,10562153.0,7092061.0
1996,13,Spain,5,6,6,17,Spain,Spain,Spain,15437.0,39724050.0,27139001.0
1996,2,Russia,26,21,16,63,Russia,Russian Federation,Russian Federation,2708.0,148375787.0,99339855.0
2000,69,Costa Rica,0,0,2,2,Costa Rica,Costa Rica,Costa Rica,3239.0,3535176.0,2151394.0
2000,69,Portugal,0,0,2,2,Portugal,Portugal,Portugal,11752.0,10026176.0,6744876.0
2000,71,Armenia,0,0,1,1,Armenia,Armenia,Armenia,413.0,3307581.0,2008317.0
2000,71,Barbados,0,0,1,1,Barbados,Barbados,Barbados,8757.0,262039.0,172976.0
2000,71,Chile,0,0,1,1,Chile,Chile,Chile,5209.0,14527381.0,9322900.0
2000,57,Argentina,0,2,2,4,Argentina,Argentina,Argentina,8004.0,35070020.0,21541885.0
2000,71,Kuwait,0,0,1,1,Kuwait,Kuwait,Kuwait,16043.0,1681513.0,1097686.0
2000,71,Qatar,0,0,1,1,Qatar,Qatar,Qatar,15798.0,514325.0,373883.0
2000,64,Sri Lanka,0,1,0,1,Sri Lanka,Sri Lanka,Sri Lanka,841.0,17564068.0,11368339.0
2000,34,Azerbaijan,2,0,1,3,Azerbaijan,Azerbaijan,Azerbaijan,391.0,7684850.0,4720767.0
2000,36,Slovenia,2,0,0,2,Slovenia,Slovenia,Slovenia,10724.0,1989872.0,1381978.0
2000,37,Switzerland,1,6,2,9,Switzerland,Switzerland,Switzerland,50132.0,7040687.0,4760577.0
2000,38,Indonesia,1,3,2,6,Indonesia,Indonesia,Indonesia,1188.0,199888057.0,124515992.0
